English,Turkish
one,bir
this,bu
what,ne
and,ve
for,için
question particle,mi
also,de
he/she/it/that,o
I,ben
very/much,çok
but,ama
yes,evet
there is/are,var
also/too,da
question particle,mı
not,değil
thing,şey
no,hayır
more/still,daha
you,sen
until/as much as,kadar
to me,bana
like/as,gibi
there isn’t,yok
this (object),bunu
him/her/it,onu
good,iyi
okay,tamam
me,beni
you,seni
every,her
my,benim
to you,sana
that/which,ki
or,ya
why,neden
time,zaman
only,sadece
your,senin
here,burada
that it is,olduğunu
how,nasıl
ever/never,hiç
after,sonra
now,şimdi
the most,en
so/like that,öyle
question particle,mu
that (near),şu
are you,misin
before,önce
a little,biraz
come on/let’s,hadi
beautiful/nice,güzel
are you,musun
it happened,oldu
so/yani,yani
like this,böyle
to him/her,ona
good,İyi
please,lütfen
his/her/its,onun
even,bile
look,bak
because,çünkü
okay/so,peki
if,eğer
anymore/no longer,artık
really,gerçekten
back,geri
I know,biliyorum
I want,istiyorum
who,kim
as,olarak
other,başka
maybe,belki
only/single,tek
right/correct,doğru
big/large,büyük
which is,olan
one (of them),biri
it happens/okay,olur
here,buraya
mr,bay
in,in
will be,olacak
man,adam
with,ile
none/no,hiçbir
we,biz
help,yardım
to mean,demek
hey,hey
I guess,sanırım
of (suffix),ın
I don’t know,bilmiyorum
of this,bunun
all,tüm
thanks,teşekkürler
too much,fazla
new,yeni
day,gün
I do/thank you,ederim
where,nerede
my god,tanrım
to,a
thing (object),şeyi
hello,merhaba
sir/madam,efendim
there,orada
last/end,son
bad,kötü
things,şeyler
night,gece
knows,biliyor
problem,sorun
two,iki
wonderful,harika
need,gerek
do,et
exact,tam
here it is,İşte
whole/all,bütün
saying/as,diye
immediately,hemen
you (plural/formal),siz
I’m sorry,üzgünüm
to be,ol
may/might,olabilir
i,i
let it be,olsun
small,küçük
to you (plural/formal),size
because of,yüzden
miss/ms,bayan
same,aynı
thanks,teşekkür
about,hakkında
of course,tabii
come,gel
them,onları
own,kendi
girl,kız
of (suffix),nin
continue,devam
to us,bize
uh/well,e
happening,oluyor
give,ver
permission,izin
work/job,iş
us,bizi
to this,buna
mother,anne
hi,selam
there was,vardı
came,geldi
our,bizim
you (plural/formal),sizi
stop,dur
nobody/someone,kimse
according to,göre
never,asla
apology,özür
with you,seninle
father,baba
I am not,değilim
actually,aslında
important,önemli
again,tekrar
go,git
of (suffix),nın
or else,yoksa
still,hala
here,işte
oh,oh
with me,benimle
in/inside,içinde
are you,mısın
again,yine
question particle,mü
I think,bence
in a way,şekilde
to be,olmak
today,bugün
say,söyle
together,birlikte
impossible,olmaz
alright,pekala
long,uzun
necessary,lazım
you know,biliyorsun
already,zaten
money,para
first,ilk
is coming,geliyor
with him/her,onunla
real,gerçek
my friend,dostum
take,al